"SHCODE","YEAR","N015","PRI15","PRIC15","SEC15","SECC15","HIGH15","HIGHC15","TYR15","PYR15","SYR15","HYR15"
13,1980,69.6,14.7,4.9,10.6,1.7,5.1,1.9,2.34,1.53,0.67,0.14
13,1985,55.7,16.8,5.6,23.8,7.6,3.6,0.5,3.56,2.32,1.16,0.08
13,1990,49.5,17.1,5.7,27.4,8.4,5.9,2.7,4.29,2.69,1.43,0.17
16,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5.1,1.2,0.3,0.2,1.79769313486232e+308,1.79769313486232e+308,0.3,0.01
16,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5.3,1.1,0.2,0.2,1.79769313486232e+308,1.79769313486232e+308,0.3,0.01
16,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5.5,1.2,0.2,0.1,1.79769313486232e+308,1.79769313486232e+308,0.31,0.01
16,1975,91.8,2.3,1,5.8,1.3,0.2,0.1,0.79,0.46,0.32,0.01
16,1980,89.7,3.7,1,6.5,1.1,0.1,0.1,0.9,0.54,0.35,0
16,1985,83.1,8.6,2,8.2,1,0.1,0.1,1.26,0.82,0.44,0
16,1990,74.3,15.9,3.4,9.7,1.1,0.1,0.1,1.69,1.17,0.51,0
17,1960,79.5,18.2,4.2,1.6,0.3,0.7,0.5,0.97,0.81,0.13,0.02
17,1965,77.2,19.3,4.5,2.9,0.3,0.7,0.4,1.12,0.93,0.18,0.02
17,1970,65.1,7.4,1.7,27.3,4.9,0.3,0.2,3.25,1.93,1.31,0.01
17,1975,61.1,11.9,2.8,26.6,3.7,0.4,0.2,3.32,2.06,1.25,0.01
17,1980,56.7,16.7,3.9,26,3.1,0.6,0.3,3.44,2.21,1.21,0.02
17,1985,52.9,20.6,4.8,25.8,2.7,0.7,0.4,3.57,2.35,1.2,0.02
17,1990,51,22.8,5.3,25.4,2.4,0.8,0.4,3.62,2.42,1.18,0.03
19,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.1,0,0.2,0.2,1.79769313486232e+308,1.79769313486232e+308,0.02,0.01
19,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.1,0,0.2,0.1,1.79769313486232e+308,1.79769313486232e+308,0.02,0.01
19,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.1,0,0.1,0.1,1.79769313486232e+308,1.79769313486232e+308,0.02,0
19,1975,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.4,0.1,0.1,0.1,1.79769313486232e+308,1.79769313486232e+308,0.03,0
19,1980,91.1,8,0.5,0.8,0.2,0.1,0.1,0.26,0.21,0.05,0
19,1985,83.1,15.2,1.5,1.5,0.4,0.1,0.1,0.49,0.4,0.09,0
19,1990,77.2,20.9,2.1,1.8,0.5,0.1,0.1,0.65,0.54,0.11,0
21,1960,70.5,26.9,8,2.3,0.4,0.3,0.2,1.53,1.41,0.12,0.01
21,1965,68.3,28.9,9.6,2.5,0.3,0.3,0.2,1.67,1.54,0.12,0.01
21,1970,64.5,30.2,14.3,5,0.3,0.4,0.2,2.17,1.93,0.23,0.01
21,1975,61.3,32.2,9.3,6.1,0.4,0.4,0.2,2.2,1.91,0.28,0.01
21,1980,44.8,40.2,9.5,14.5,1.1,0.5,0.3,3.44,2.79,0.63,0.02
21,1985,38.4,51.5,11.2,9.5,0.6,0.6,0.3,3.35,2.9,0.43,0.02
21,1990,34.9,51.9,10.9,12.4,0.7,0.9,0.4,3.7,3.12,0.56,0.02
22,1960,33.2,65.5,17.9,1.3,0.2,0,0,3.05,3.01,0.04,0
22,1965,34.3,64.1,16.8,1.5,0.3,0.1,0,3,2.94,0.05,0
22,1970,33.9,63.9,14.8,2,0.3,0.1,0.1,2.98,2.9,0.07,0
22,1975,29.4,63.9,10.8,6.7,1.4,0.1,0,3.32,3.09,0.23,0
22,1980,30.2,62,11.3,7.5,1.5,0.3,0.1,3.39,3.11,0.27,0.01
22,1985,30.9,60.4,11.9,8.2,1.6,0.5,0.3,3.46,3.14,0.31,0.02
22,1990,30.4,59,11.9,10.1,1.8,0.6,0.4,3.62,3.23,0.37,0.02
23,1960,89.4,7.8,4,1.9,0.5,0.8,0.6,0.67,0.52,0.12,0.03
23,1965,86.5,10.4,3.3,2.3,0.6,0.8,0.5,0.75,0.6,0.13,0.03
23,1970,82.8,13.2,4.3,3.3,0.8,0.8,0.5,0.96,0.77,0.17,0.03
23,1975,79.9,8.3,2.3,10.5,4.5,1.3,0.7,1.59,1.02,0.52,0.04
23,1980,73.5,13,3.2,12,3.2,1.4,0.8,1.88,1.29,0.54,0.04
23,1985,66,20.2,4.5,12.3,2.9,1.5,0.8,2.16,1.57,0.55,0.05
23,1990,65.7,20.9,4.4,11.6,2.3,1.8,0.9,2.14,1.56,0.52,0.05
25,1960,63.6,35.7,9.7,0.7,0.2,0,0,1.9,1.87,0.02,0
25,1965,61.2,38,9.7,0.8,0.2,0,0,2,1.97,0.03,0
25,1970,62.5,36.6,7.9,0.8,0.2,0.1,0,1.88,1.85,0.03,0
25,1975,49.9,47,6.3,3,1.2,0.2,0.1,2.5,2.39,0.11,0.01
25,1980,51.8,45.2,12.3,2.7,1,0.2,0.1,2.65,2.54,0.1,0.01
25,1985,49.5,45.3,9.8,4.8,2,0.3,0.2,2.81,2.62,0.19,0.01
25,1990,50.4,45.1,9.2,4.2,1.3,0.4,0.3,2.7,2.53,0.15,0.01
26,1960,94.2,5.5,1.5,0.1,0,0.2,0.2,0.36,0.34,0.01,0.01
26,1965,94,5.7,1.5,0.1,0,0.2,0.2,0.36,0.35,0.01,0.01
26,1970,92.1,7.6,1.9,0.1,0,0.2,0.1,0.47,0.45,0.01,0.01
26,1975,90.8,8,2.3,0.9,0.1,0.2,0.1,0.6,0.57,0.02,0.01
26,1980,89,8.8,1.8,1.9,0.2,0.2,0.2,0.72,0.67,0.04,0.01
26,1985,87.8,9.6,2,2.3,0.4,0.4,0.2,0.82,0.75,0.05,0.01
26,1990,87.3,9.6,2,2.7,0.5,0.4,0.2,0.87,0.8,0.06,0.01
28,1960,39.5,45,10.9,14.7,3.2,0.9,0.4,3.13,2.61,0.49,0.02
28,1965,36.3,45.9,15.6,17.1,3.8,0.7,0.3,3.49,2.91,0.56,0.02
28,1970,26.2,51.7,19.9,21.1,5.7,1,0.2,4.21,3.47,0.72,0.02
28,1975,26.4,49.2,14.8,23.4,6.9,1,0.3,4.22,3.38,0.81,0.03
28,1980,16.8,48.6,13.8,31.8,10.7,2.8,1.1,5.23,3.95,1.2,0.08
28,1985,15.3,48.6,11.9,33.7,16,2.5,1,5.42,3.98,1.37,0.07
28,1990,15.8,46.1,5.4,36.6,28.1,1.5,0.5,5.57,3.83,1.7,0.04
30,1960,85.5,12.5,2.9,2,0.5,0,0,0.48,0.39,0.09,0
30,1965,81.7,16.5,3.8,1.8,0.5,0,0,0.56,0.48,0.08,0
30,1970,80.1,18.1,4.2,1.7,0.4,0.1,0,0.6,0.52,0.08,0
30,1975,78.1,20.2,4.7,1.6,0.4,0.1,0,0.64,0.57,0.07,0
30,1980,73.1,25.2,5.9,1.6,0.4,0.1,0,0.76,0.69,0.07,0
30,1985,71.4,26.8,6.2,1.7,0.4,0.1,0,0.81,0.73,0.08,0
30,1990,67.7,30.3,7.1,1.8,0.4,0.1,0,0.91,0.83,0.08,0
31,1960,94,5.3,1.2,0.6,0.1,0.1,0.1,0.28,0.24,0.04,0
31,1965,94.3,4.9,1.1,0.7,0.1,0.1,0.1,0.27,0.23,0.04,0
31,1970,93.6,5.6,1.3,0.7,0.2,0.1,0.1,0.3,0.25,0.04,0
31,1975,90.2,8.6,2,1,0.2,0.2,0.2,0.46,0.39,0.06,0.01
31,1980,88.8,9.4,2.2,1.5,0.2,0.2,0.2,0.55,0.45,0.08,0.01
31,1985,86.9,10.6,2.5,2.2,0.3,0.3,0.2,0.67,0.54,0.12,0.01
