"SHCODE","YEAR","N0F15","PRIF15","PRICF15","SECF15","SECCF15","HIGHF15","HIGHCF15","TYRF15","PYRF15","SYRF15","HYRF15"
62,1980,14.8,44.1,22.8,33.4,17,7.7,2.8,6.66,4.48,1.97,0.21
62,1985,14.1,43.2,18.1,31.7,12.2,11.1,4.4,6.69,4.4,1.98,0.31
62,1990,11,36.1,20.1,37.7,22.2,15.3,7.9,8.04,4.86,2.71,0.46
65,1960,14.7,70.5,18.3,14.4,3.8,0.3,0.1,4.37,3.55,0.82,0.01
65,1965,14.2,68.6,18.8,16.6,3.2,0.5,0.2,4.59,3.65,0.93,0.01
65,1970,10.4,67.6,20.9,21.3,3.7,0.5,0.1,5.16,3.97,1.18,0.01
65,1975,10.7,65.6,25.7,22.6,3.6,1.1,0.3,5.46,4.16,1.28,0.03
65,1980,1,60.6,36.9,36.8,5.3,1.6,0.6,7.33,5.23,2.06,0.04
65,1985,2.6,56.8,20,38.7,8.8,1.9,0.9,7.05,4.74,2.25,0.06
65,1990,3.7,51.2,13.3,42.8,12.1,2.3,1.1,7.25,4.64,2.54,0.07
66,1960,1.9,35.3,17.1,48.6,18,14.2,6.8,8.61,5.34,2.85,0.42
66,1965,1.7,33.2,26.7,49.5,19.4,15.6,7,9.16,5.7,3,0.45
66,1970,1.4,31.4,28.7,49,21.3,18.3,7.6,9.56,5.84,3.2,0.52
66,1975,1.7,29.2,20.6,47,23.4,22.1,8.9,9.7,5.64,3.44,0.62
66,1980,0.9,4.8,3,67.3,50.8,27,11.3,11.82,5.89,5.16,0.77
66,1985,1.3,4.8,2.5,62.8,34.5,31.1,13.7,11.53,5.85,4.78,0.89
66,1990,1.8,5.8,2.8,56.9,27.8,35.7,15.9,11.53,5.82,4.69,1.03
67,1960,11.4,72.6,20.4,14.1,6.3,2,0.7,5.08,4.38,0.65,0.05
67,1965,11.3,71.5,23.3,14.3,6.2,3,1.1,5.31,4.53,0.7,0.08
67,1970,8,69.7,31.2,18.9,7.9,3.2,1.2,6.06,5.09,0.89,0.09
67,1975,7.4,67.6,28.4,18.9,7.3,6,1.8,6.28,5.11,1.01,0.16
67,1980,5.6,62.1,33.5,25.5,10.2,6.8,2.8,7.1,5.6,1.31,0.19
67,1985,5.6,59.3,27.3,24.9,9.9,10.2,3.9,7.22,5.49,1.45,0.28
67,1990,5.1,51.3,31.7,29.7,12.3,13.8,5.9,8.18,5.96,1.83,0.39
68,1960,54,10.7,3.5,32.6,11.6,2.7,1.7,4.33,2.54,1.7,0.09
68,1965,53.8,16.1,5.2,27.6,9.9,2.6,1.6,3.98,2.45,1.45,0.08
68,1970,51.7,22,7.1,23.5,8.5,2.9,1.5,3.83,2.46,1.28,0.09
68,1975,50.1,26.1,8.5,20.4,9.4,3.4,1.7,3.77,2.47,1.21,0.1
68,1980,46.3,31.7,10.3,18.1,7,3.9,1.9,3.8,2.58,1.1,0.12
68,1985,43,34.6,11.2,17.2,6.1,5.2,2.2,3.99,2.72,1.12,0.15
68,1990,39.8,37.4,12.1,15.9,5.6,7,3,4.22,2.86,1.17,0.2
69,1960,44.1,38.2,12.6,16.9,7.5,0.8,0.4,3.14,2.16,0.96,0.02
69,1965,39.5,44.9,16.8,14.9,6.4,0.5,0.2,3.15,2.31,0.82,0.01
69,1970,39.9,45.6,20.6,13.3,5.1,1,0.3,3.15,2.37,0.75,0.03
69,1975,28.6,60.2,5.1,8.1,2.9,3.1,1.1,2.91,2.19,0.63,0.08
69,1980,28.5,57.8,6.2,9.8,3.4,3.8,1.3,3.14,2.28,0.76,0.1
69,1985,27.5,58.4,9,9.1,3.2,5,2,3.34,2.39,0.81,0.14
69,1990,18.7,63.2,6.9,12.2,0.3,5.9,2.7,3.74,2.66,0.91,0.17
