"SHCODE","YEA","N0F25","PRIF25","PRICF25","SECF25","SECCF25","HIGHF25","HIGHCF25","TYRF25","PYRF25","SYRF25","HYRF25"
87,1960,95.2,3.8,2.3,0.9,0.5,0.1,0.1,0.3,0.24,0.05,0
87,1965,94,3.8,2.3,2,1,0.2,0.1,0.42,0.31,0.1,0.01
87,1970,92.9,4.2,1.9,2.6,1.3,0.3,0.2,0.5,0.35,0.14,0.01
87,1975,89.9,5.9,2.3,3.7,1.9,0.6,0.3,0.72,0.5,0.2,0.02
87,1980,85.1,8.1,2.9,5.6,2.9,1.1,0.7,1.1,0.74,0.32,0.04
87,1985,78.4,10.1,3.6,10.1,5.3,1.4,0.9,1.69,1.1,0.55,0.05
87,1990,69,15.8,5.5,13.6,7.1,1.7,1,2.33,1.55,0.72,0.05
88,1960,99.2,0.2,0.1,0.4,0.2,0.2,0.1,0.08,0.04,0.03,0.01
88,1965,98.1,1,0.4,0.6,0.3,0.4,0.2,0.16,0.1,0.04,0.01
88,1970,95.7,2.4,0.9,1.3,0.6,0.8,0.5,0.33,0.22,0.09,0.03
88,1975,90.7,5.6,2.1,2.6,1.2,1.1,0.7,0.65,0.45,0.16,0.04
88,1980,85.2,9.4,3.6,3.3,1.5,2.1,1.3,1.02,0.71,0.24,0.07
88,1985,81.3,11.2,4.2,4.6,2.1,2.9,1.8,1.34,0.92,0.33,0.09
88,1990,73.8,13.8,5.2,8.7,4,3.7,2.2,1.96,1.31,0.53,0.12
89,1960,26.2,40.9,15.5,25.9,12,7,2.8,6.12,4.89,1.04,0.2
89,1965,26.8,39.6,15,26.4,12.2,7.2,2.9,6.13,4.87,1.06,0.2
89,1970,22.3,35.7,13.5,29.6,13.7,12.4,5,7.04,5.33,1.36,0.35
89,1975,16.5,41.4,15.7,28.7,13.3,13.4,5.4,7.4,5.65,1.37,0.38
89,1980,14.1,30.2,11.4,34.8,16.1,20.9,8.5,8.56,6.12,1.85,0.59
89,1985,15.2,28.6,10.8,33.6,15.6,22.6,9.2,8.6,6.08,1.89,0.64
89,1990,15.7,27,10.2,33.3,15.4,24,9.7,8.68,6.07,1.93,0.67
90,1960,4.4,61.9,29.8,31.4,11.8,2.3,0.7,6.27,4.77,1.43,0.06
90,1965,4.3,56.1,26.1,37,14.1,2.5,0.8,6.59,4.84,1.69,0.07
