"SHCODE","COUNTRY","M_64_13","M_64_FS","M_8283_13","M_8283_FS","M_88_13","M_9091_10","M_9091_14","M_9398_13","S_7072_10","S_7072_14","S_7072_FS","S_84_10","S_84_13","S_84_FS","S_88_13","S_9091_9","S_9091_13","S_9398_13","R_7072_13","R_9091_9","R_9091_13"
100,"Singapore",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,60.1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,46.7,55,62.6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,54.5,1.79769313486232e+308,51.5,53.4
103,"Taiwan",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,68.1,72.7,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,66.7,75.6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
104,"Thailand",1.79769313486232e+308,1.79769313486232e+308,42.7,31.3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,49.5,24.8,19.5,20.7,1.79769313486232e+308,55,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,49.3,1.79769313486232e+308,1.79769313486232e+308,47.7
107,"Austria",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,50.9,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,51.9,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
108,"Belgium",43.4,50.1,52.8,47,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,53.3,39.8,22.9,27.3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,48.5,74,50.7,48.1
109,"Cyprus",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,44.6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,42,1.79769313486232e+308,48.1,49.7
110,"Denmark",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,46.5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,43.9,1.79769313486232e+308,47.5,52.5
111,"Finland",37.7,36.7,48.2,57.3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,43.8,25.6,33,63.8,61.7,41,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,74,56.9,56
112,"France",30,48.4,53.5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,64.2,49.2,1.79769313486232e+308,1.79769313486232e+308,30.5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,68.6,45.1,1.79769313486232e+308,53.1,54.9
113,"Germany",36.3,41.7,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,48.4,37.3,29.6,44.8,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,49.9,1.79769313486232e+308,50.3,52.2
