"SHCODE","YEAR","N0M25","PRIM25","PRICM25","SECM25","SECCM25","HIGHM25","HIGHCM25","TYRM25","PYRM25","SYRM25","HYRM25"
51,1960,17.6,72.1,19.6,7.5,2.7,2.9,1.9,3.89,3.37,0.42,0.1
51,1965,20.6,68.5,19.5,7.5,2.9,3.4,2.3,3.86,3.29,0.45,0.11
51,1970,20.6,68.4,12.1,7.6,3.2,3.4,2.3,3.65,3.08,0.46,0.11
51,1975,16.2,66.3,17.9,11.4,5.3,6.2,4.1,4.55,3.58,0.76,0.21
51,1980,13.9,67.8,17.2,8.8,3.6,9.5,6.4,4.78,3.65,0.81,0.32
51,1985,13.3,65.1,16.1,8.3,2.9,13.3,8.9,5.16,3.74,0.97,0.45
51,1990,12.1,63.4,15.5,9.1,2.8,15.5,10.4,5.46,3.84,1.1,0.52
53,1960,40,55.8,14.9,3,0.8,1.2,0.8,2.57,2.37,0.16,0.04
53,1965,51.2,44,8.8,3.6,0.8,1.3,0.9,2.1,1.87,0.18,0.04
53,1970,37.5,47,4.7,13.1,2.6,2.5,1.7,3.08,2.48,0.51,0.08
53,1975,39.1,46.5,8.8,10.9,2.4,3.4,2.3,3.15,2.52,0.52,0.11
53,1980,41.8,43.3,9.6,9.9,2.3,5,3.4,3.25,2.48,0.59,0.17
53,1985,41.9,39.3,9.3,11.4,3,7.4,5,3.63,2.59,0.79,0.25
53,1990,41.1,37.2,8.9,11.3,2.9,10.4,7,4,2.68,0.97,0.35
54,1960,56.8,37.4,5.9,4.9,2.3,0.9,0.6,1.95,1.65,0.27,0.03
54,1965,57.8,36.4,7.6,4.6,1.9,1.1,0.7,1.96,1.66,0.26,0.04
54,1970,44,44.3,10.1,8,3.2,3.6,2.4,3,2.33,0.55,0.12
54,1975,42.5,45.5,10.7,8.1,3,3.8,2.6,3.09,2.4,0.56,0.13
54,1980,31.6,55.9,13.6,7.3,2.5,5.3,3.6,3.62,2.84,0.61,0.18
54,1985,31.6,55.8,13.7,7.3,2.4,5.3,3.6,3.63,2.84,0.61,0.18
54,1990,31.7,55.4,13.7,3.9,1,9,6.1,3.84,2.85,0.69,0.3
56,1960,65.2,29.9,7.4,4.1,0.7,0.7,0.4,1.6,1.4,0.17,0.02
56,1965,64.3,30.9,6.7,3.6,0.6,1.1,0.7,1.62,1.41,0.17,0.04
56,1970,62.6,32.4,7.4,3.3,0.4,1.6,1.1,1.74,1.49,0.19,0.06
56,1975,61.5,31.6,7.4,5,0.8,1.9,1.3,1.91,1.58,0.26,0.06
56,1980,47.9,41.3,9.8,7.6,1.2,3.2,2.2,2.7,2.18,0.41,0.11
56,1985,47.8,41.3,9.8,5.9,0.8,4.9,3.3,2.79,2.19,0.44,0.17
56,1990,46.8,41.8,10,5.1,0.6,6.3,4.3,2.93,2.24,0.48,0.21
57,1960,83.7,10.9,2.8,5.2,2.4,0.2,0.2,1.01,0.74,0.27,0.01
57,1965,84.1,10.8,2.4,4.8,2.4,0.3,0.2,0.98,0.7,0.26,0.01
57,1970,78.5,16,2.1,5,2.8,0.4,0.3,1.17,0.87,0.29,0.01
57,1975,77.4,16.7,3.3,5.4,2.6,0.5,0.4,1.27,0.95,0.3,0.02
57,1980,72.2,18.4,4.1,8.6,3.8,1,0.8,1.78,1.26,0.48,0.04
57,1985,36,50,11.2,13.1,5.5,1,0.8,3.4,2.68,0.68,0.04
57,1990,42.5,43.6,9.9,12.8,5,1.1,0.9,3.15,2.44,0.66,0.04
58,1960,55.9,39.1,6.9,3.7,1.5,1,0.7,1.89,1.66,0.19,0.03
58,1965,59.7,35.8,8.8,3.2,1.5,1.2,0.8,1.83,1.6,0.19,0.04
58,1970,59.4,36,7.8,3.1,1.8,1.4,1,1.84,1.59,0.2,0.05
58,1975,49.8,42.9,6,5.4,3.8,1.6,1.1,2.26,1.89,0.32,0.05
58,1980,46.2,46.6,9.5,4.6,2.5,2.5,1.7,2.51,2.11,0.31,0.09
